bid px,bid size,bid size cumulative,bid sum,bid sum cumulative,exchange,time
11,17522.0,0.0593,10.8938,1039.0546,190940.5369,FTX,2020-11-17 22:05:11
12,17521.5,0.0593,10.9531,1039.02495,191979.56185,FTX,2020-11-17 22:05:11
13,17521.0,0.5832,11.5363,10218.2472,202197.80905,FTX,2020-11-17 22:05:11
14,17520.5,0.1186,11.6549,2077.9313,204275.74035,FTX,2020-11-17 22:05:11
15,17520.0,0.5337,12.1886,9350.424,213626.16435,FTX,2020-11-17 22:05:11
16,17519.0,130.6601,300.2599,2289034.2919,5261737.1216,FTXUS,2020-11-17 22:05:11
17,17518.5,0.8895,13.0781,15582.70575,229208.8701,FTX,2020-11-17 22:05:11
18,17517.5,0.8,13.8781,14014.0,243222.8701,FTX,2020-11-17 22:05:11
19,17517.0,133.703,433.9629,2342075.451,7603812.5726,FTXUS,2020-11-17 22:05:11
0,17532.5,0.006,0.006,105.195,105.195,FTX,2020-11-17 22:05:16
1,17530.0,0.1309,0.1369,2294.677,2399.872,FTX,2020-11-17 22:05:16
2,17529.5,0.1006,0.2375,1763.4677,4163.3397,FTX,2020-11-17 22:05:16
3,17528.0,86.9114,86.9114,1523383.0192,1523383.0192,FTXUS,2020-11-17 22:05:16
4,17527.5,81.9414,168.8528,1436227.8885,2959610.9077,FTXUS,2020-11-17 22:05:16
5,17527.5,10.2806,10.5181,180193.2165,184356.5562,FTX,2020-11-17 22:05:16
6,17526.0,0.747,169.5998,13091.922,2972702.8297,FTXUS,2020-11-17 22:05:16
7,17526.0,0.0002,10.5183,3.5052,184360.0614,FTX,2020-11-17 22:05:16
8,17525.5,0.0285,10.5468,499.47675,184859.53815,FTX,2020-11-17 22:05:16
9,17525.0,0.0057,10.5525,99.8925,184959.43065,FTX,2020-11-17 22:05:16
10,17524.0,0.1427,10.6952,2500.6748,187460.10545,FTX,2020-11-17 22:05:16
11,17522.5,0.1193,10.8145,2090.43425,189550.5397,FTX,2020-11-17 22:05:16
