ask px,ask size,ask size cumulative,ask sum,ask sum cumulative,exchange,time
11,17568.5,0.0999,3.0968,1755.09315,54391.066,FTX,2020-11-17 22:04:10
12,17569.0,0.01,3.1068,175.69,54566.756,FTX,2020-11-17 22:04:10
13,17570.0,0.3262,3.433,5731.334,60298.09,FTX,2020-11-17 22:04:10
14,17572.0,13.0575,13.0575,229446.39,229446.39,FTXUS,2020-11-17 22:04:10
15,17572.5,0.125,3.558,2196.5625,62494.6525,FTX,2020-11-17 22:04:10
16,17574.0,0.773,4.331,13584.702,76079.3545,FTX,2020-11-17 22:04:10
17,17577.0,0.8537,5.1847,15005.4849,91084.8394,FTX,2020-11-17 22:04:10
18,17578.0,12.3385,17.5232,216886.153,307970.9924,FTX,2020-11-17 22:04:10
19,17579.0,0.8796,13.9371,15462.4884,244908.8784,FTXUS,2020-11-17 22:04:10
0,17562.0,1.4055,1.4055,24683.391,24683.391,FTX,2020-11-17 22:04:16
1,17562.5,0.1423,1.5478,2499.14375,27182.53475,FTX,2020-11-17 22:04:16
2,17563.0,0.01,1.5578,175.63,27358.16475,FTX,2020-11-17 22:04:16
3,17564.0,0.4268,1.9846,7496.3152,34854.47995,FTX,2020-11-17 22:04:16
4,17564.5,0.0783,2.0629,1375.30035,36229.7803,FTX,2020-11-17 22:04:16
5,17565.0,0.1482,2.2111,2603.133,38832.9133,FTX,2020-11-17 22:04:16
6,17565.5,0.0593,2.2704,1041.63415,39874.54745,FTX,2020-11-17 22:04:16
7,17566.0,0.4447,2.7151,7811.6002,47686.14765,FTX,2020-11-17 22:04:16
8,17567.0,0.089,2.8041,1563.463,49249.61065,FTX,2020-11-17 22:04:16
9,17568.5,0.1187,2.9228,2085.38095,51334.9916,FTX,2020-11-17 22:04:16
10,17569.0,0.1,3.0228,1756.9,53091.8916,FTX,2020-11-17 22:04:16
11,17569.5,0.2667,3.2895,4685.78565,57777.67725,FTX,2020-11-17 22:04:16
12,17570.5,0.5354,3.8249,9407.2457,67184.92295,FTX,2020-11-17 22:04:16
13,17571.5,0.8895,4.7144,15629.84925,82814.7722,FTX,2020-11-17 22:04:16
14,17572.5,0.125,4.8394,2196.5625,85011.3347,FTX,2020-11-17 22:04:16
15,17573.5,0.1,4.9394,1757.35,86768.6847,FTX,2020-11-17 22:04:16
16,17574.0,0.773,5.7124,13584.702,100353.3867,FTX,2020-11-17 22:04:16
17,17574.5,19.6156,19.6156,344734.3622,344734.3622,FTXUS,2020-11-17 22:04:16
18,17577.0,0.8537,6.5661,15005.4849,115358.8716,FTX,2020-11-17 22:04:16
19,17579.0,0.8796,20.4952,15462.4884,360196.8506,FTXUS,2020-11-17 22:04:16
0,17560.5,0.5217,0.5217,9161.31285,9161.31285,FTX,2020-11-17 22:04:21
1,17561.0,0.2016,0.7233,3540.2976,12701.61045,FTX,2020-11-17 22:04:21
2,17563.0,0.019,0.7423,333.697,13035.30745,FTX,2020-11-17 22:04:21
3,17564.5,0.189,0.9313,3319.6905,16354.99795,FTX,2020-11-17 22:04:21
4,17565.0,0.6522,1.5835,11455.893,27810.89095,FTX,2020-11-17 22:04:21
5,17566.0,0.627,2.2105,11013.882,38824.77295,FTX,2020-11-17 22:04:21
6,17567.0,0.1187,2.3292,2085.2029,40909.97585,FTX,2020-11-17 22:04:21
7,17569.0,0.1,2.4292,1756.9,42666.87585,FTX,2020-11-17 22:04:21
8,17569.5,0.5929,3.0221,10416.95655,53083.8324,FTX,2020-11-17 22:04:21
9,17570.0,0.8895,3.9116,15628.515,68712.3474,FTX,2020-11-17 22:04:21
10,17570.5,0.2092,4.1208,3675.7486,72388.096,FTX,2020-11-17 22:04:21
11,17571.0,0.01,4.1308,175.71,72563.806,FTX,2020-11-17 22:04:21
12,17572.0,0.8536,4.9844,14999.4592,87563.2652,FTX,2020-11-17 22:04:21
13,17572.5,0.125,5.1094,2196.5625,89759.8277,FTX,2020-11-17 22:04:21
14,17574.0,0.773,5.8824,13584.702,103344.5297,FTX,2020-11-17 22:04:21
15,17576.0,0.1703,6.0527,2993.1928,106337.7225,FTX,2020-11-17 22:04:21
16,17576.5,14.4283,14.4283,253599.01495,253599.01495,FTXUS,2020-11-17 22:04:21
17,17579.0,0.8796,15.3079,15462.4884,269061.50335,FTXUS,2020-11-17 22:04:21
18,17580.0,73.0925,88.4004,1284966.15,1554027.65335,FTXUS,2020-11-17 22:04:21
19,17580.5,8.5884,14.6411,150988.3662,257326.0887,FTX,2020-11-17 22:04:21
0,17556.0,21.1319,21.1319,370991.6364,370991.6364,FTX,2020-11-17 22:04:25
1,17559.0,0.119,21.2509,2089.521,373081.1574,FTX,2020-11-17 22:04:25
2,17559.5,0.0297,21.2806,521.51715,373602.67455,FTX,2020-11-17 22:04:25
3,17560.0,0.089,21.3696,1562.84,375165.51455,FTX,2020-11-17 22:04:25
4,17561.0,0.8895,22.2591,15620.5095,390786.02405,FTX,2020-11-17 22:04:25
5,17561.5,0.1,22.3591,1756.15,392542.17405,FTX,2020-11-17 22:04:25
6,17563.0,0.526,22.8851,9238.138,401780.31205,FTX,2020-11-17 22:04:25
7,17566.0,0.637,23.5221,11189.542,412969.85405,FTX,2020-11-17 22:04:25
8,17567.0,0.1187,23.6408,2085.2029,415055.05695,FTX,2020-11-17 22:04:25
9,17572.0,0.1308,23.7716,2298.4176,417353.47455,FTX,2020-11-17 22:04:25
10,17572.5,16.8555,16.8555,296193.27375,296193.27375,FTXUS,2020-11-17 22:04:25
